,Product Name,Price,Rate
0,Dell Inspiron 3567 Intel Core i3 7th Gen 15.6-inch FHD Laptop (4GB/1TB HDD/Windows 10 Home/MS Office/Black/2.5kg),  ,2.8 out of 5 stars
1,"HP 14 Core i3 7th gen 14-inch Thin and Light Laptop (4GB/1TB HDD/Windows 10 Home/MS Office/Smoke Gray/1.59 kg), 14q-cs0014TU",  ,3.3 out of 5 stars
2,"Lenovo Ideapad 330 Intel Core i5 8th Gen 15.6-inch Full HD Laptop (8GB DDR4/1TB HDD/Windows 10 Home/Platinum Grey/ 2.2kg), 81DE008PIN",  ,3.4 out of 5 stars
3,"HP 15 AMD E2 15.6-inch Entry Level Laptop (4GB /1TB HDD/Windows 10 Home/Jet Black/2.04 Kgs), 15q-dy0001au",  ,3.2 out of 5 stars
4,"ASUS TUF FX505DY-BQ002T 15.6-inch FHD Gaming Laptop (AMD Ryzen 5-3550H/8GB/1TB HDD/Windows 10/Radeon RX 560X 4GB Graphics/2.20 Kg), Black",  ,4.2 out of 5 stars
5,"HP 15 Core i3 7th gen 15.6-inch Laptop (4GB/1TB HDD/Windows 10 Home/Natural Silver/2.04 kg), 15-DA0326TU",  ,3.5 out of 5 stars
6,"Lenovo Ideapad 330s Intel Core i3 8th Gen 14-inch Full HD Thin & Light Laptop (4GB RAM/1TB HDD/Windows 10 Home / Platinum Grey /1.6kg), 81F40196IN",  ,3.4 out of 5 stars
7,"HP 15 Intel Core i5 (8GB DDR4/1TB HDD/Win 10/MS Office/Integrated Graphics/2.04 kg), Full HD Laptop (15.6-inch, Sparkling Black) 15q-ds0029TU",  ,3.5 out of 5 stars
8,"ASUS VivoBooK Intel Celeron N4000 15.6-inch Laptop (4GB/500GB HDD/Windows 10/Chocolate Black/2 Kg), X540MA-GQ024T",  ,3.2 out of 5 stars
9,iBall Excelance OHD IPS Screen with 11.6-inch FHD Display Laptop (8th Gen Intel Atom X5-Z8350/2GB DDR3/32GB/Windows 10/Integrated Graphics) Chocolate Brown,  ,3.6 out of 5 stars
10,"iBall Marvel 6 V 2.0 2017 14-inch Laptop (Intel Celeron Processor N3350/3GB/32GB/Windows 10 Home/Integrated Graphics), Metallic Grey",  ,3.7 out of 5 stars
11,"iBall M500 14-inch Laptop (Intel Celeron N3350/4GB/32GB/Windows 10/Integrated Graphics), Cobalt Blue",  ,3.3 out of 5 stars
12,"Apple MacBook Air (13-inch, 1.8GHz Dual-core Intel Core i5, 8GB RAM, 128GB SSD) - Silver",  ,4.4 out of 5 stars
13,"HP Pavilion x360 Core i3 8th Gen 14-inch Touchscreen 2-in-1 Thin and Light Laptop (4GB/256GB SSD/Windows 10/MS Office/Inking Pen/Natural Silver/1.59 kg), 14-dh0107TU",  ,4.1 out of 5 stars
14,"HP 14Q CS0009TU 2018 14-inch Laptop (7th Gen Core i3 7020U/4GB/1TB/DOS 2.0/Integrated Graphics), Jet Black",  ,3.5 out of 5 stars
15,"HP Pavilion x360 Intel Core i3 8th Gen 14-inch Touchscreen 2-in-1 FHD Thin and Light Laptop (4GB/1TB+8GB SSHD/Windows 10 Home/MS Office/Natural Silver/1.59 kg), cd0077TU",  ,3.4 out of 5 stars
16,"HP 15 Core i5 8th gen 15.6-inch FHD Laptop (8GB/1TB HDD/Windows 10 Home/Sparkling Black /2.04 kg), 15q-ds0010TU",  ,3.5 out of 5 stars
17,"ASUS TUF FX570 Intel Core i5 8th Gen 15.6-inch FHD Gaming Laptop (8GB/1TB Hybrid HDD (FireCuda)/Windows 10/GTX 1050 4GB Graphics/Black/1.96 kg), FX570UD-E4168T",  ,4 out of 5 stars
18,Acer Nitro 5 AN515-42 Ryzen 5 15.6-inch Gaming FHD Laptop (8GB/1TB HDD/Windows 10/4GB Graphics/Black/2.7 Kg),  ,4.2 out of 5 stars
19,"ASUS TUF FX504 Intel Core i5 8th Gen 15.6-inch FHD Gaming Laptop (8GB/1TB Hybrid HDD (FireCuda)/Windows 10/GTX 1050 4GB Graphics/Gun Metal/2.30 Kg), FX504GD-E4021T",  ,4.2 out of 5 stars
20,"HP 15 db0209au 15.6-inch Laptop (A4-9125/4GB/1TB/Windows 10/Integrated Graphics), Jet Black",  ,2.6 out of 5 stars
21,"Asus E203 E203MAH-FD005T 11.6-inch Laptop (Celeron N4000/4GB/500GB/Windows 10/Integrated Graphics), Star Grey",  ,3.7 out of 5 stars
22,"Lenovo Ideapad 330 Intel Core i3 7th Gen 15.6-inch Full HD Laptop (4GB RAM/1 TB HDD/Windows 10 Home/MS Office H&S 2016/Platinum Grey/2.2 kg/with DVD Drive), 81DC00YEIN",  ,3.3 out of 5 stars
23,"ASUS X507 ( Core i3-7th Gen /8 GB/ 1TB HDD / 15.6"" FHD/ Windows 10 ) Thin and Light X507UA- EJ274T ( Icicle Gold /1.68 kg)",  ,4 out of 5 stars
